id,harvest_time,station_id,available_bike_stands,bike_stands,available_bikes,banking,bonus,last_update,status,address,name,latitude,longitude
66682200,2023-10-31T20:40:02,1,23,31,8,False,False,2023-10-31T20:35:24,OPEN,Clarendon Row,CLARENDON ROW,53.3409,-6.2625
66682267,2023-10-31T20:40:02,2,15,20,5,False,False,2023-10-31T20:35:53,OPEN,Blessington Street,BLESSINGTON STREET,53.3568,-6.26814
66682288,2023-10-31T20:40:02,3,18,20,2,False,False,2023-10-31T20:37:42,OPEN,Bolton Street,BOLTON STREET,53.3512,-6.26986
66682228,2023-10-31T20:40:02,4,19,20,1,False,False,2023-10-31T20:38:26,OPEN,Greek Street,GREEK STREET,53.3469,-6.27298
66682223,2023-10-31T20:40:02,5,4,40,36,False,False,2023-10-31T20:35:50,OPEN,Charlemont Street,CHARLEMONT PLACE,53.3307,-6.26018
66682190,2023-10-31T20:40:02,6,19,20,1,False,False,2023-10-31T20:35:23,OPEN,Christchurch Place,CHRISTCHURCH PLACE,53.3434,-6.27012
66682231,2023-10-31T20:40:02,7,28,29,1,False,False,2023-10-31T20:36:10,OPEN,High Street,HIGH STREET,53.3436,-6.27507
66682243,2023-10-31T20:40:02,8,18,30,12,False,False,2023-10-31T20:29:18,OPEN,Custom House Quay,CUSTOM HOUSE QUAY,53.3479,-6.24805
66682218,2023-10-31T20:40:02,9,22,24,1,False,False,2023-10-31T20:32:15,OPEN,Exchequer Street,EXCHEQUER STREET,53.343,-6.26358
66682275,2023-10-31T20:40:02,10,11,16,5,True,False,2023-10-31T20:29:51,OPEN,Dame Street,DAME STREET,53.344,-6.2668
66682209,2023-10-31T20:40:02,11,30,30,0,False,False,2023-10-31T20:34:32,OPEN,Earlsfort Terrace,EARLSFORT TERRACE,53.3343,-6.2585
66682264,2023-10-31T20:40:02,12,19,20,1,False,False,2023-10-31T20:35:17,OPEN,Eccles Street,ECCLES STREET,53.3592,-6.26978
66682195,2023-10-31T20:40:02,13,21,30,9,False,False,2023-10-31T20:36:57,OPEN,Fitzwilliam Square West,FITZWILLIAM SQUARE WEST,53.3361,-6.25282
66682199,2023-10-31T20:40:02,14,0,30,30,False,False,2023-10-31T20:31:33,OPEN,Fownes Street Upper,FOWNES STREET UPPER,53.3446,-6.26337
66682272,2023-10-31T20:40:02,15,9,16,7,False,False,2023-10-31T20:38:21,OPEN,Hardwicke Street,HARDWICKE STREET,53.3555,-6.26442
66682245,2023-10-31T20:40:02,16,1,20,19,False,False,2023-10-31T20:37:25,OPEN,Georges Quay,GEORGES QUAY,53.3475,-6.25219
66682210,2023-10-31T20:40:02,17,19,20,1,False,False,2023-10-31T20:36:07,OPEN,Golden Lane,GOLDEN LANE,53.3408,-6.26773
66682191,2023-10-31T20:40:02,18,14,30,15,False,False,2023-10-31T20:38:46,OPEN,Grantham Street,GRANTHAM STREET,53.3341,-6.26544
66682230,2023-10-31T20:40:02,19,27,30,3,False,False,2023-10-31T20:29:55,OPEN,Herbert Place,HERBERT PLACE,53.3344,-6.24557
66682188,2023-10-31T20:40:02,20,29,30,1,False,False,2023-10-31T20:39:10,OPEN,James Street East,JAMES STREET EAST,53.3366,-6.24811
